GC_NAME;The_Last_of_the_Gods;;;;;;;;;;;;;x;;;;
RAD;The Radadino Kingdom;;;;;;;;;;;;x
RAD_ADJ;Radadian;;;;;;;;;;;;;x;;;;;;;;;;;;;;
RAD_conservative;World Solidarity League;;;;;;;;;;;;;x;;;;
RAD_conservative_2;Respect Community;;;;;;;;;;;;;x;;;;
RAD_reactionary;Permanent Administration Communion;;;;;;;;;;;;;x;;;;
RAD_liberal;Privilege Voice;;;;;;;;;;;;;x;;;;
RAD_liberal_2;Progress League;;;;;;;;;;;;;x;;;;
RAD_anarcho_liberal;Progressive Defiance Party;;;;;;;;;;;;;x;;;;
RAD_socialist;Socialist Collective;;;;;;;;;;;;;x;;;;
RAD_communist;Diligence Foundation;;;;;;;;;;;;;x;;;;
RAD_fascist;Integrity Coalition;;;;;;;;;;;;;x;;;;
BEN;The Benestrella Kingdom;;;;;;;;;;;;x
BEN_ADJ;Benestrellan;;;;;;;;;;;;;x;;;;;;;;;;;;;;
BEN_conservative;Liberation League;;;;;;;;;;;;;x;;;;
BEN_reactionary;Advanced Loyalist Union;;;;;;;;;;;;;x;;;;
BEN_liberal;Reconciliation Union;;;;;;;;;;;;;x;;;;
BEN_liberal_2;World Administration League;;;;;;;;;;;;;x;;;;
BEN_anarcho_liberal;Youth Coalition;;;;;;;;;;;;;x;;;;
BEN_socialist;Constitutional Administration Formation;;;;;;;;;;;;;x;;;;
BEN_communist;Justice Coalition;;;;;;;;;;;;;x;;;;
BEN_fascist;International Honesty Union;;;;;;;;;;;;;x;;;;
KUR;Kuruna;;;;;;;;;;;;x
KUR_ADJ;Kurunan;;;;;;;;;;;;;x;;;;;;;;;;;;;;
KUR_conservative;Identity Union;;;;;;;;;;;;;x;;;;
KUR_reactionary;Solidarity Foundation;;;;;;;;;;;;;x;;;;
KUR_liberal;Cooperation Communion;;;;;;;;;;;;;x;;;;
KUR_liberal_2;Good Will Movement;;;;;;;;;;;;;x;;;;
KUR_anarcho_liberal;Action Formation;;;;;;;;;;;;;x;;;;
KUR_socialist;Organized Youth Union;;;;;;;;;;;;;x;;;;
KUR_communist;Southern Emancipation Movement;;;;;;;;;;;;;x;;;;
KUR_fascist;Appreciation Union;;;;;;;;;;;;;x;;;;
DAL;Rozdal;;;;;;;;;;;;x
DAL_ADJ;Rozdian;;;;;;;;;;;;;x;;;;;;;;;;;;;;
DAL_conservative;Contemporary Protection Group;;;;;;;;;;;;;x;;;;
DAL_conservative_2;Appreciation Party;;;;;;;;;;;;;x;;;;
DAL_reactionary;Honesty Community;;;;;;;;;;;;;x;;;;
DAL_liberal;Liberty Alliance;;;;;;;;;;;;;x;;;;
DAL_liberal_2;Administration Group;;;;;;;;;;;;;x;;;;
DAL_anarcho_liberal;International Honesty Voice;;;;;;;;;;;;;x;;;;
DAL_socialist;Identity Community;;;;;;;;;;;;;x;;;;
DAL_communist;Independent Honesty Party;;;;;;;;;;;;;x;;;;
DAL_fascist;Advancement Voice;;;;;;;;;;;;;x;;;;
EIA;Perbrameia;;;;;;;;;;;;x
EIA_ADJ;Perbrameian;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EIA_conservative;Action Foundation;;;;;;;;;;;;;x;;;;
EIA_conservative_2;Western Good Will Community;;;;;;;;;;;;;x;;;;
EIA_reactionary;Undivided Community;;;;;;;;;;;;;x;;;;
EIA_liberal;Parliamentary People Alliance;;;;;;;;;;;;;x;;;;
EIA_liberal_2;Good Will Movement;;;;;;;;;;;;;x;;;;
EIA_anarcho_liberal;Solidarity Party;;;;;;;;;;;;;x;;;;
EIA_socialist;Constitutional Rehabilitation League;;;;;;;;;;;;;x;;;;
EIA_socialist_2;Common Identity Alliance;;;;;;;;;;;;;x;;;;
EIA_communist;First Voter Collective;;;;;;;;;;;;;x;;;;
EIA_fascist;Civic Defiance League;;;;;;;;;;;;;x;;;;
PAT;Patagna;;;;;;;;;;;;x
PAT_ADJ;Patagnan;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAT_conservative;Lawful Justice Movement;;;;;;;;;;;;;x;;;;
PAT_conservative_2;International Law Voice;;;;;;;;;;;;;x;;;;
PAT_reactionary;Nature Foundation;;;;;;;;;;;;;x;;;;
PAT_liberal;Workers Voice;;;;;;;;;;;;;x;;;;
PAT_liberal_2;Advancement Community;;;;;;;;;;;;;x;;;;
PAT_liberal_3;Popular Equality Party;;;;;;;;;;;;;x;;;;
PAT_anarcho_liberal;Reformation League;;;;;;;;;;;;;x;;;;
PAT_socialist;Unified Administration Movement;;;;;;;;;;;;;x;;;;
PAT_communist;Diligence Formation;;;;;;;;;;;;;x;;;;
PAT_fascist;Prime Administration League;;;;;;;;;;;;;x;;;;
VAL;Valkejarvi;;;;;;;;;;;;x
VAL_ADJ;Valkejarvian;;;;;;;;;;;;;x;;;;;;;;;;;;;;
VAL_conservative;Nationalist Party;;;;;;;;;;;;;x;;;;
